Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
Foster Weather Station,2021-08-22 04:59:59.655649,0,3.3,0.0,
Foster Weather Station,2021-11-21 18:59:59.364727,0,3.3,0.0,
Foster Weather Station,2021-12-05 14:59:59.834293,0,3.3,0.0,
63rd Street Weather Station,2021-09-30 16:00:00.032101,70,2.9,3.9,350.0
Foster Weather Station,2021-10-16 18:00:00.627310,0,3.3,0.0,
63rd Street Weather Station,2021-11-02 17:59:59.745167,281,2.8,6.3,350.0
63rd Street Weather Station,2021-11-23 11:00:00.748796,220,3.2,6.8,350.0
Foster Weather Station,2021-10-30 17:59:59.534808,0,3.3,0.0,
Oak Street Weather Station,2021-12-06 09:59:59.184426,344,1.9,6.4,357.0
63rd Street Weather Station,2021-07-24 05:59:59.351446,246,2.9,5.4,351.0
Oak Street Weather Station,2021-10-12 12:00:00.177149,265,1.7,4.2,357.0
Oak Street Weather Station,2021-08-31 13:00:00.368717,82,2.0,2.5,358.0
Foster Weather Station,2021-06-10 10:59:59.178067,0,3.3,0.0,
Foster Weather Station,2021-11-19 08:00:00.895975,0,3.3,0.0,
Foster Weather Station,2021-08-17 09:59:59.293206,0,3.3,0.0,
63rd Street Weather Station,2021-05-24 09:59:59.157944,130,0.6,0.8,351.0
Oak Street Weather Station,2021-06-22 05:00:00.099618,329,0.7,1.3,357.0
Foster Weather Station,2021-09-01 02:00:00.275152,0,3.3,0.0,
Oak Street Weather Station,2021-10-26 10:59:59.868358,5,1.0,2.7,357.0
Oak Street Weather Station,2021-11-10 08:00:00.630211,143,1.2,3.1,357.0
Oak Street Weather Station,2021-11-02 18:59:59.260955,331,0.7,1.5,357.0
63rd Street Weather Station,2021-09-27 20:00:00.101892,22,4.7,8.7,351.0
Oak Street Weather Station,2021-06-06 18:59:59.671986,89,1.3,2.7,358.0
Oak Street Weather Station,2021-05-30 00:59:59.614178,213,0.5,0.8,357.0
63rd Street Weather Station,2021-05-27 21:00:00.589674,55,2.1,5.6,351.0
63rd Street Weather Station,2021-12-04 15:59:59.867583,11,2.6,4.4,351.0
Foster Weather Station,2021-06-09 11:59:59.408154,0,3.3,0.0,
Oak Street Weather Station,2021-05-31 11:00:00.033688,57,0.9,1.3,358.0
Oak Street Weather Station,2021-11-14 00:59:59.115985,333,1.1,2.6,357.0
Foster Weather Station,2021-07-19 13:59:59.411411,0,3.3,0.0,
Foster Weather Station,2021-08-13 15:00:00.233567,0,3.3,0.0,
Oak Street Weather Station,2021-11-19 02:00:00.487120,305,0.7,1.4,357.0
Foster Weather Station,2021-07-30 17:00:00.790239,0,3.3,0.0,
Foster Weather Station,2021-07-22 16:59:59.842351,0,3.3,0.0,
Oak Street Weather Station,2021-09-26 11:59:59.982670,274,1.7,6.0,358.0
Foster Weather Station,2021-11-24 00:59:59.728547,0,3.3,0.0,
63rd Street Weather Station,2021-12-06 11:59:59.951426,285,7.0,13.2,350.0
63rd Street Weather Station,2021-11-16 07:00:00.066658,137,2.4,4.7,350.0
Oak Street Weather Station,2021-12-14 22:59:59.296626,337,1.4,4.9,357.0
63rd Street Weather Station,2021-12-17 13:00:00.468410,57,3.7,5.4,350.0
Foster Weather Station,2021-07-26 04:00:00.830765,0,3.3,0.0,
Foster Weather Station,2021-07-29 08:00:00.487375,0,3.3,0.0,
Oak Street Weather Station,2021-09-27 08:00:00.824787,282,2.7,6.6,358.0
Oak Street Weather Station,2021-07-26 07:59:59.449290,294,0.7,2.1,358.0
Oak Street Weather Station,2021-11-24 04:00:00.015894,291,2.3,7.9,357.0
Oak Street Weather Station,2021-06-18 23:00:00.053275,0,0.0,0.4,358.0
63rd Street Weather Station,2021-09-02 04:59:59.244259,271,0.4,0.7,351.0
63rd Street Weather Station,2021-11-14 11:00:00.832500,289,4.4,8.0,350.0
Oak Street Weather Station,2021-07-22 05:59:59.259992,132,0.5,1.0,358.0
Oak Street Weather Station,2021-08-24 05:00:00.081979,291,0.8,1.6,358.0
63rd Street Weather Station,2021-08-11 09:59:59.877378,251,8.6,14.0,351.0
Oak Street Weather Station,2021-06-05 13:59:59.823491,56,2.2,3.4,358.0
Foster Weather Station,2021-10-07 15:59:59.788199,0,3.3,0.0,
63rd Street Weather Station,2021-10-28 02:59:59.669792,139,3.6,6.0,351.0
63rd Street Weather Station,2021-08-27 10:59:59.415837,124,0.8,1.2,352.0
Oak Street Weather Station,2021-09-19 13:59:59.929195,99,2.2,2.8,357.0
Foster Weather Station,2021-07-30 14:59:59.190046,0,3.3,0.0,
Oak Street Weather Station,2021-06-03 01:00:00.197889,256,0.8,1.5,358.0
Oak Street Weather Station,2021-09-17 17:00:00.892780,74,1.2,1.9,358.0
63rd Street Weather Station,2021-06-02 23:00:00.109531,0,0.0,0.5,351.0
Foster Weather Station,2021-09-28 14:59:59.809025,0,3.3,0.0,
63rd Street Weather Station,2021-08-28 15:59:59.953204,223,3.0,5.9,351.0
Oak Street Weather Station,2021-06-24 06:59:59.363635,307,0.8,2.4,357.0
Oak Street Weather Station,2021-09-23 09:59:59.848189,334,1.6,3.4,358.0
63rd Street Weather Station,2021-09-18 00:00:00.246949,15,6.7,10.8,351.0
63rd Street Weather Station,2021-07-26 01:59:59.169798,304,1.0,2.2,351.0
Foster Weather Station,2021-12-01 16:59:59.185910,0,3.3,0.0,
63rd Street Weather Station,2021-06-15 03:00:00.348662,324,0.7,1.3,351.0
Foster Weather Station,2021-07-31 04:59:59.388752,0,3.3,0.0,
Oak Street Weather Station,2021-05-21 23:59:59.179404,118,0.7,1.5,358.0
Oak Street Weather Station,2021-07-07 22:59:59.360445,10,2.4,3.0,357.0
Foster Weather Station,2021-11-11 12:59:59.731746,0,3.3,0.0,
Foster Weather Station,2021-08-31 04:59:59.877170,0,3.3,0.0,
Foster Weather Station,2021-07-22 09:59:59.502877,0,3.3,0.0,
Oak Street Weather Station,2021-07-07 09:00:00.691053,204,0.7,1.8,358.0
63rd Street Weather Station,2021-08-22 07:00:00.455289,13,3.7,6.2,350.0
Foster Weather Station,2021-09-22 11:00:00.862106,0,3.3,0.0,
Foster Weather Station,2021-11-02 20:00:00.049352,0,3.3,0.0,
63rd Street Weather Station,2021-09-24 13:59:59.701436,210,5.3,9.4,350.0
Foster Weather Station,2021-06-03 11:00:00.059753,0,3.3,0.0,
Oak Street Weather Station,2021-05-20 04:59:59.893471,145,0.8,1.5,357.0
63rd Street Weather Station,2021-06-10 07:00:00.158793,20,1.5,2.7,352.0
Oak Street Weather Station,2021-07-12 01:59:59.819106,79,2.2,2.9,357.0
63rd Street Weather Station,2021-05-29 02:00:00.278847,68,11.5,14.9,351.0
Oak Street Weather Station,2021-09-04 11:00:00.371639,302,0.8,1.2,357.0
Oak Street Weather Station,2021-06-06 10:59:59.142249,23,1.0,1.8,358.0
63rd Street Weather Station,2021-07-09 20:00:00.185388,157,0.3,0.6,351.0
Oak Street Weather Station,2021-07-06 22:59:59.892425,0,0.4,2.3,358.0
Foster Weather Station,2021-11-09 03:59:59.200473,0,3.3,0.0,
Foster Weather Station,2021-10-25 13:59:59.134456,0,3.3,0.0,
63rd Street Weather Station,2021-05-20 03:59:59.801920,160,0.9,2.2,351.0
63rd Street Weather Station,2021-06-14 20:00:00.711823,9,2.4,3.8,351.0
63rd Street Weather Station,2021-07-04 05:59:59.484514,267,1.9,3.3,351.0
63rd Street Weather Station,2021-10-17 06:00:00.256702,265,3.5,5.7,351.0
63rd Street Weather Station,2021-08-21 11:59:59.329243,196,4.9,9.1,352.0
Foster Weather Station,2021-09-14 10:00:00.153775,0,3.3,0.0,
Foster Weather Station,2021-07-21 05:00:00.522310,0,3.3,0.0,
Foster Weather Station,2021-12-14 05:59:59.754430,0,3.3,0.0,
Foster Weather Station,2021-10-21 03:00:00.760973,0,3.3,0.0,
63rd Street Weather Station,2021-05-27 10:59:59.258926,62,2.6,5.6,351.0
63rd Street Weather Station,2021-09-02 15:00:00.120507,105,3.1,4.9,350.0
63rd Street Weather Station,2021-10-25 19:00:00.761386,25,9.0,12.5,351.0
63rd Street Weather Station,2021-05-31 19:00:00.256371,268,3.5,5.4,350.0
63rd Street Weather Station,2021-09-17 18:59:59.621731,214,0.7,1.4,351.0
63rd Street Weather Station,2021-10-03 17:59:59.566339,5,1.2,1.8,351.0
Oak Street Weather Station,2021-11-30 01:59:59.374892,339,1.2,2.5,357.0
Oak Street Weather Station,2021-11-20 21:59:59.129881,0,0.3,0.8,357.0
63rd Street Weather Station,2021-11-14 12:59:59.903869,293,4.3,7.8,351.0
Foster Weather Station,2021-07-14 10:00:00.232454,0,3.3,0.0,
63rd Street Weather Station,2021-09-22 22:59:59.749012,12,9.8,17.9,351.0
Oak Street Weather Station,2021-09-23 15:59:59.931942,19,5.3,6.6,357.0
63rd Street Weather Station,2021-07-07 19:59:59.632838,21,3.1,5.5,351.0
Foster Weather Station,2021-08-28 20:59:59.621303,0,3.3,0.0,
63rd Street Weather Station,2021-06-09 07:59:59.641118,87,0.9,1.2,352.0
Oak Street Weather Station,2021-06-08 07:59:59.875982,11,0.9,1.4,358.0
Oak Street Weather Station,2021-10-07 19:00:00.749605,120,0.7,1.3,357.0
