Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature
Oak Street Weather Station,2021-05-22 00:00:00.349947,21.8,18.6
63rd Street Weather Station,2021-12-16 23:59:59.323607,1.5,-1.2
Foster Weather Station,2021-11-25 07:59:59.273967,6.56,
Oak Street Weather Station,2021-05-21 22:59:59.566755,20.6,17.4
63rd Street Weather Station,2021-05-27 05:59:59.162413,13.3,11.7
Foster Weather Station,2021-06-14 05:59:59.540954,19.28,
Foster Weather Station,2021-08-29 10:59:59.230865,27.67,
63rd Street Weather Station,2021-09-27 19:59:59.377522,18.8,18.1
Foster Weather Station,2021-11-03 05:00:00.046693,0.78,
63rd Street Weather Station,2021-07-21 13:59:59.187761,21.2,19.5
Oak Street Weather Station,2021-12-11 00:00:00.753603,15.3,13.2
Oak Street Weather Station,2021-07-18 21:00:00.265915,21.5,19.6
63rd Street Weather Station,2021-09-29 22:59:59.944084,19.5,17.9
Foster Weather Station,2021-10-12 02:00:00.289304,16.78,
63rd Street Weather Station,2021-12-04 10:59:59.245020,5.4,0.1
Foster Weather Station,2021-09-14 02:00:00.743520,24.39,
63rd Street Weather Station,2021-12-12 06:00:00.099957,1.5,-0.4
63rd Street Weather Station,2021-07-07 22:00:00.802679,20.5,20.2
Oak Street Weather Station,2021-12-06 18:00:00.789320,-2.8,-6.0
63rd Street Weather Station,2021-06-18 04:00:00.045090,26.8,20.7
Oak Street Weather Station,2021-10-12 06:59:59.579830,17.5,16.4
Oak Street Weather Station,2021-06-29 18:59:59.677181,28.9,23.5
Oak Street Weather Station,2021-12-15 19:59:59.255527,17.5,15.1
63rd Street Weather Station,2021-06-12 16:00:00.543859,23.3,22.4
63rd Street Weather Station,2021-09-05 17:59:59.966530,27.5,17.4
Oak Street Weather Station,2021-09-07 14:59:59.913101,21.4,18.9
Oak Street Weather Station,2021-08-03 18:59:59.546652,24.2,18.5
Foster Weather Station,2021-11-08 11:59:59.244964,15.28,
Foster Weather Station,2021-06-17 19:59:59.777744,30.0,
63rd Street Weather Station,2021-06-23 17:00:00.019547,25.7,17.3
Foster Weather Station,2021-09-17 09:59:59.157750,25.67,
Foster Weather Station,2021-07-19 11:00:00.621852,21.89,
63rd Street Weather Station,2021-07-14 06:59:59.424585,22.3,21.0
Oak Street Weather Station,2021-09-14 21:00:00.524754,21.5,16.4
63rd Street Weather Station,2021-09-29 11:59:59.297658,19.6,17.4
Oak Street Weather Station,2021-10-19 05:59:59.416536,15.0,11.0
Oak Street Weather Station,2021-06-17 08:59:59.520225,23.2,13.9
Foster Weather Station,2021-08-23 12:59:59.710844,25.56,
Oak Street Weather Station,2021-07-11 07:59:59.732500,20.6,18.6
Foster Weather Station,2021-05-27 21:00:00.321487,7.0,
Oak Street Weather Station,2021-11-05 00:59:59.924437,7.0,3.1
Foster Weather Station,2021-07-09 02:59:59.274681,16.0,
63rd Street Weather Station,2021-06-29 20:59:59.210641,24.3,22.9
Foster Weather Station,2021-07-27 21:00:00.763470,28.28,
63rd Street Weather Station,2021-06-10 17:59:59.612454,23.3,22.1
63rd Street Weather Station,2021-11-16 01:00:00.273264,2.2,1.2
63rd Street Weather Station,2021-10-30 15:59:59.748946,13.1,11.3
Oak Street Weather Station,2021-10-04 03:59:59.490859,19.4,18.0
Oak Street Weather Station,2021-10-03 18:00:00.772503,21.4,19.3
Foster Weather Station,2021-07-06 07:59:59.991266,27.56,
Oak Street Weather Station,2021-07-05 10:00:00.767278,29.2,22.7
Foster Weather Station,2021-09-29 17:59:59.611135,19.28,
63rd Street Weather Station,2021-09-05 10:59:59.560513,24.8,16.7
Oak Street Weather Station,2021-05-19 18:00:00.238279,23.0,19.2
63rd Street Weather Station,2021-08-17 19:59:59.427355,23.7,22.3
Foster Weather Station,2021-09-17 02:59:59.801960,21.28,
Oak Street Weather Station,2021-06-07 02:00:00.106256,25.3,21.2
Oak Street Weather Station,2021-06-25 16:59:59.939135,24.3,21.8
63rd Street Weather Station,2021-10-17 00:00:00.877075,11.0,7.1
Oak Street Weather Station,2021-09-28 20:00:00.388952,18.4,16.2
Oak Street Weather Station,2021-11-28 09:59:59.176736,1.9,-0.9
63rd Street Weather Station,2021-06-05 04:00:00.633972,22.9,17.2
Oak Street Weather Station,2021-05-20 08:00:00.288356,20.7,17.1
Foster Weather Station,2021-07-30 12:59:59.849741,19.78,
63rd Street Weather Station,2021-11-11 14:00:00.015837,10.4,8.6
Oak Street Weather Station,2021-07-14 19:59:59.324462,27.5,22.8
Foster Weather Station,2021-06-20 13:59:59.860103,21.56,
Oak Street Weather Station,2021-08-06 07:59:59.197209,24.6,19.0
63rd Street Weather Station,2021-07-31 03:00:00.751048,20.4,16.7
Oak Street Weather Station,2021-08-10 15:00:00.207883,34.2,26.9
Oak Street Weather Station,2021-07-25 10:00:00.803455,26.1,21.5
63rd Street Weather Station,2021-09-04 11:00:00.285013,21.8,18.9
Foster Weather Station,2021-08-30 20:59:59.370887,23.5,
63rd Street Weather Station,2021-06-03 13:59:59.585658,20.6,17.2
Foster Weather Station,2021-10-16 05:59:59.686452,7.56,
Oak Street Weather Station,2021-10-16 23:00:00.485961,12.5,7.4
Foster Weather Station,2021-09-12 04:00:00.205484,23.17,
Oak Street Weather Station,2021-05-30 09:59:59.430231,12.7,10.3
63rd Street Weather Station,2021-10-01 07:59:59.440695,17.7,14.5
Foster Weather Station,2021-06-15 15:59:59.872507,19.67,
Foster Weather Station,2021-09-17 15:00:00.253801,31.0,
63rd Street Weather Station,2021-10-02 09:59:59.773419,22.6,19.7
Oak Street Weather Station,2021-09-25 15:00:00.189480,19.8,11.0
Foster Weather Station,2021-08-17 07:00:00.541498,22.17,
63rd Street Weather Station,2021-10-18 20:59:59.251100,18.5,12.4
Foster Weather Station,2021-12-09 01:00:00.251663,-0.5,
63rd Street Weather Station,2021-05-18 04:59:59.365396,14.1,13.5
Foster Weather Station,2021-09-05 03:00:00.047601,17.5,
Oak Street Weather Station,2021-11-17 22:59:59.764752,6.9,3.0
Foster Weather Station,2021-06-05 07:00:00.425338,15.89,
Foster Weather Station,2021-07-19 05:59:59.146229,20.56,
Foster Weather Station,2021-12-03 21:59:59.959668,5.67,
Oak Street Weather Station,2021-08-18 16:59:59.247216,25.3,23.4
Foster Weather Station,2021-06-18 22:59:59.452997,27.67,
Oak Street Weather Station,2021-08-12 18:00:00.609334,26.6,22.2
Foster Weather Station,2021-12-16 01:00:00.535732,17.17,
63rd Street Weather Station,2021-10-28 12:00:00.798725,12.8,11.2
63rd Street Weather Station,2021-09-10 05:59:59.588215,17.2,13.8
63rd Street Weather Station,2021-06-18 18:59:59.465680,27.9,22.1
