Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
63rd Street Weather Station,2021-07-12 06:00:00.463193,0.0,0.0,264.4
Oak Street Weather Station,2021-06-15 02:59:59.252572,0.0,0.0,21.7
63rd Street Weather Station,2021-10-06 09:00:00.733567,0.0,0.0,570.0
Foster Weather Station,2021-08-22 00:00:00.118518,,0.0,
Oak Street Weather Station,2021-05-23 19:59:59.601388,0.0,0.0,23.0
Foster Weather Station,2021-06-27 07:59:59.845106,,0.0,
63rd Street Weather Station,2021-11-28 04:59:59.183430,0.0,0.0,107.4
63rd Street Weather Station,2021-09-14 13:59:59.540112,0.0,0.0,498.4
Foster Weather Station,2021-06-04 10:59:59.955169,,0.0,
Foster Weather Station,2021-09-13 12:59:59.731842,,0.0,
Foster Weather Station,2021-09-30 22:59:59.210612,,0.0,
Oak Street Weather Station,2021-07-27 14:59:59.933275,0.0,0.0,140.0
Oak Street Weather Station,2021-12-10 16:59:59.618108,0.0,8.0,10.4
Foster Weather Station,2021-09-03 22:59:59.775505,,0.0,
Oak Street Weather Station,2021-06-21 18:59:59.764899,0.0,0.0,34.5
63rd Street Weather Station,2021-12-10 23:59:59.293761,0.0,0.0,30.0
63rd Street Weather Station,2021-08-08 20:00:00.858217,0.0,0.0,343.0
Foster Weather Station,2021-08-13 17:59:59.614097,,0.0,
Foster Weather Station,2021-08-11 23:59:59.467892,,0.0,
Oak Street Weather Station,2021-06-17 16:00:00.098647,0.0,0.0,22.2
63rd Street Weather Station,2021-11-11 04:00:00.829580,0.0,0.0,60.2
Oak Street Weather Station,2021-05-23 11:59:59.972149,0.0,0.0,22.9
63rd Street Weather Station,2021-07-16 18:59:59.554195,0.0,0.0,282.9
Oak Street Weather Station,2021-08-20 19:00:00.555466,0.0,0.0,164.1
63rd Street Weather Station,2021-11-21 18:00:00.303968,0.0,0.0,103.9
Foster Weather Station,2021-12-12 03:00:00.892580,,0.0,
63rd Street Weather Station,2021-11-20 02:59:59.638708,0.0,0.0,103.0
63rd Street Weather Station,2021-10-11 10:59:59.200757,0.0,0.0,592.4
